country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,,,,,,,,,,,,,,0.148,0.131,0.14,,,,,,,,
Georgia,,,,,,,,,,,,,,0.136,,,,,,,,,,
Germany,,,,0.201,,,,,,,,0.203,0.211,0.211,0.239,0.239,0.228,0.23,0.232,0.232,0.23,0.23,,
Ghana,,,,,,,0.406,,,0.429,0.384,0.302,0.273,0.267,0.27,,0.263,0.391,0.193,0.2,,,,
Greece,,,,0.13,0.144,0.192,0.174,0.168,0.191,0.194,0.207,,,,,,,,,,0.235,0.23,,
Grenada,,,,,,,,,0.098,,,,,,,,,,,,,,0.109,
Guatemala,,,,,,0.0443,0.0543,0.0413,,0.0439,0.0447,0.0499,0.0607,0.0633,,0.0561,0.0492,0.0518,0.0547,0.0556,0.0507,0.0512,0.0509,0.0542
Guinea,,,,,,,,,,,,,,0.0406,,,0.0801,0.0683,,0.0825,,,,
Guyana,,,,,,,,,,,,,0.103,,0.0964,0.113,0.104,0.093,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,0.203,,,,,
Hungary,,,,0.18,0.186,0.2,0.195,0.205,0.261,0.231,0.226,0.228,0.229,0.224,0.221,0.212,0.205,0.185,0.163,0.231,0.212,0.231,,
Iceland,,,,,0.186,0.183,0.207,0.215,0.21,0.221,0.22,0.22,0.206,0.205,0.209,0.194,0.196,0.178,0.181,0.194,0.204,0.194,,
India,,,,,0.254,0.253,0.239,,0.203,0.183,0.173,0.167,,,0.136,0.141,0.152,0.157,0.169,,,,,
Indonesia,,,,,,,,,,,,,0.0949,0.0942,0.11,0.0828,,0.103,0.0987,0.0995,0.105,,,
Iran,,,,,,,0.0937,0.109,0.109,0.111,0.107,0.159,0.188,0.167,0.174,0.181,0.14,0.138,0.179,0.147,0.144,0.169,0.175,
Ireland,,,,0.169,0.164,0.159,0.166,0.172,0.185,0.201,0.206,0.216,0.225,0.268,0.287,0.277,0.276,0.258,0.237,0.216,0.164,0.159,,
Israel,,,,,0.187,0.178,0.186,0.188,0.183,0.179,0.172,0.173,0.16,0.171,0.159,0.153,0.153,0.182,0.178,0.177,0.186,0.187,,
Italy,,,,0.265,0.267,0.256,0.29,0.259,0.271,0.259,0.254,0.269,0.238,0.252,0.253,0.239,0.226,0.225,0.229,0.222,0.229,,,
Jamaica,,,,,,,,,0.206,0.181,0.194,,0.207,0.278,0.239,0.25,0.269,,0.308,0.242,0.288,0.276,0.272,0.297
Japan,,,,,,,,,,,,,,,,,,,0.247,0.24,,0.241,,
Jordan,,,,,0.17,,,0.179,0.197,0.185,0.203,0.176,0.178,0.166,,,0.186,,,,,,0.171,0.156
Kazakhstan,,,0.22,,,,,,,,,,,,,,,,0.187,0.195,0.192,0.212,,
Kenya,,,,,,0.147,0.161,,0.208,0.228,,0.217,,,,,,,,,,,,
Kuwait,,,0,,,,,,0.19,0.161,0.155,0.131,,0.14,,,0.218,,,0.173,,,,
Lao,,,0.182,,,,,0.0921,,,,,,,0.0756,0.0735,0.0798,0.0779,0.145,0.125,,,,
